
---------- Begin Simulation Statistics ----------
simSeconds                                   0.146702                       # Number of seconds simulated (Second)
simTicks                                 146701639000                       # Number of ticks simulated (Tick)
finalTick                                146701639000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   1067.03                       # Real time elapsed on the host (Second)
hostTickRate                                137486334                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     710688                       # Number of bytes of host memory used (Byte)
simInsts                                    100000001                       # Number of instructions simulated (Count)
simOps                                      100000001                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    93718                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      93718                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                        293403279                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       102411827                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       28                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      102315814                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    439                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              2411853                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           1660094                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  12                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           293368449                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.348762                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.256602                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 263042397     89.66%     89.66% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   9517950      3.24%     92.91% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   7525355      2.57%     95.47% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    240137      0.08%     95.55% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    288705      0.10%     95.65% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    884502      0.30%     95.95% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  11680099      3.98%     99.94% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    145613      0.05%     99.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     43691      0.01%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             293368449                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   38979     78.92%     78.92% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     78.92% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     78.92% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     78.92% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     78.92% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     78.92% # attempts to use FU when none available (Count)
